Geneid,SRR36692440
ENSG00000160072,63
ENSG00000279928,5
ENSG00000228037,0
ENSG00000142611,212
ENSG00000284616,2
ENSG00000157911,589
ENSG00000269896,10
ENSG00000228463,151
ENSG00000260972,0
ENSG00000224340,0
ENSG00000226374,0
ENSG00000229280,0
ENSG00000142655,700
ENSG00000232596,10
ENSG00000235054,0
ENSG00000231510,0
ENSG00000149527,36
ENSG00000284739,0
ENSG00000171621,48
ENSG00000272235,0
ENSG00000284694,0
ENSG00000224387,0
ENSG00000142583,2
ENSG00000284674,0
ENSG00000224338,0
ENSG00000116786,1327
ENSG00000287727,0
ENSG00000286448,0
ENSG00000284703,0
ENSG00000226457,0
ENSG00000173614,294
ENSG00000215720,0
ENSG00000241326,0
ENSG00000233623,0
ENSG00000162592,4
ENSG00000204624,286
ENSG00000142606,8
ENSG00000225931,0
ENSG00000171729,203
ENSG00000279457,75
ENSG00000229393,0
ENSG00000037637,2133
ENSG00000287586,0
ENSG00000159423,792
ENSG00000227169,0
ENSG00000283356,0
ENSG00000011021,2301
ENSG00000142615,0
ENSG00000215704,0
ENSG00000157916,2824
ENSG00000157881,814
ENSG00000238290,5
ENSG00000225387,2
ENSG00000048707,1460
ENSG00000225196,0
ENSG00000162444,6
ENSG00000279625,0
ENSG00000180758,12
ENSG00000184677,456
ENSG00000288398,98
ENSG00000224621,0
ENSG00000285833,0
ENSG00000131697,432
ENSG00000284692,4
ENSG00000284745,0
ENSG00000280222,0
ENSG00000285945,0
ENSG00000197921,84
ENSG00000233755,0
ENSG00000233929,0
ENSG00000271742,0
ENSG00000234166,0
ENSG00000235282,0
ENSG00000055070,4955
ENSG00000175087,3820
ENSG00000157191,838
ENSG00000230035,0
ENSG00000225643,0
ENSG00000284666,0
ENSG00000228943,0
ENSG00000234397,0
ENSG00000284309,0
ENSG00000162511,0
ENSG00000158014,8
ENSG00000204138,1119
ENSG00000233419,0
ENSG00000235263,0
ENSG00000228176,0
ENSG00000231251,0
ENSG00000142675,0
ENSG00000197245,18
ENSG00000130772,168
ENSG00000215899,0
ENSG00000271398,0
ENSG00000225011,0
ENSG00000235069,0
ENSG00000284676,0
ENSG00000237058,0
ENSG00000233399,0
ENSG00000090020,377
ENSG00000157978,176
ENSG00000130770,902
ENSG00000229044,0
ENSG00000162512,10457
ENSG00000158006,461
ENSG00000214812,2
ENSG00000126698,9142
ENSG00000229447,0
ENSG00000229607,0
ENSG00000130766,988
ENSG00000168528,692
ENSG00000196581,2160
ENSG00000169403,4
ENSG00000084628,4099
ENSG00000060688,2208
ENSG00000171612,1192
ENSG00000270927,0
ENSG00000188910,0
ENSG00000230523,0
ENSG00000116138,1053
ENSG00000158161,422
ENSG00000142684,0
ENSG00000121769,241
ENSG00000142627,220
ENSG00000284668,0
ENSG00000233234,0
ENSG00000142632,33
ENSG00000234593,0
ENSG00000270605,4
ENSG00000189337,1422
ENSG00000235084,5
ENSG00000235143,0
ENSG00000225478,0
ENSG00000028137,2
ENSG00000204464,0
ENSG00000233372,0
ENSG00000283259,0
ENSG00000284543,0
ENSG00000130939,3432
ENSG00000175147,2
ENSG00000127472,14
ENSG00000060656,70
ENSG00000163867,607
ENSG00000232768,0
ENSG00000230214,0
ENSG00000189280,0
ENSG00000134698,1427
ENSG00000134690,678
ENSG00000272420,9
ENSG00000132881,122
ENSG00000273274,281
ENSG00000272510,0
ENSG00000236648,0
ENSG00000232273,0
ENSG00000009709,100
ENSG00000287396,0
ENSG00000223589,0
ENSG00000158008,33
ENSG00000130940,108
ENSG00000116771,10
ENSG00000237301,14
ENSG00000163879,1716
ENSG00000227527,1
ENSG00000116954,1113
ENSG00000228589,74
ENSG00000163873,1117
ENSG00000117215,0
ENSG00000196449,555
ENSG00000230163,0
ENSG00000227538,0
ENSG00000236500,0
ENSG00000044012,0
ENSG00000179051,2354
ENSG00000215895,14
ENSG00000284650,4
ENSG00000237329,0
ENSG00000236948,0
ENSG00000126067,4760
ENSG00000274944,0
ENSG00000132906,536
ENSG00000197312,426
ENSG00000284748,0
ENSG00000272078,11
ENSG00000173660,6604
ENSG00000224592,0
ENSG00000233728,0
ENSG00000230451,0
ENSG00000231606,1
ENSG00000215900,0
ENSG00000284632,0
ENSG00000241014,0
ENSG00000054118,4737
ENSG00000254553,0
ENSG00000284653,0
ENSG00000237749,6
ENSG00000276747,0
ENSG00000284705,0
ENSG00000228776,0
ENSG00000159339,0
ENSG00000197982,1443
ENSG00000261781,0
ENSG00000183317,183
ENSG00000183386,218
ENSG00000284743,0
ENSG00000158315,6
ENSG00000204084,183
ENSG00000186973,78
ENSG00000146463,6667
ENSG00000183520,2386
ENSG00000271741,0
ENSG00000214141,0
ENSG00000142686,2132
ENSG00000224751,0
ENSG00000117148,0
ENSG00000230585,5
ENSG00000117000,2802
ENSG00000284989,0
ENSG00000231630,0
ENSG00000092853,173
ENSG00000255811,0
ENSG00000134697,1650
ENSG00000187513,14
ENSG00000238145,0
ENSG00000225142,0
ENSG00000230138,0
ENSG00000223390,0
ENSG00000284720,0
ENSG00000225671,0
ENSG00000116151,138
ENSG00000226147,0
ENSG00000006555,0
ENSG00000236111,0
ENSG00000066056,15
ENSG00000214114,114
ENSG00000116544,171
ENSG00000231900,0
ENSG00000236723,0
ENSG00000232467,0
ENSG00000117016,3323
ENSG00000121310,156
ENSG00000169213,590
ENSG00000163866,1296
ENSG00000225779,0
ENSG00000284601,0
ENSG00000237130,0
ENSG00000143001,0
ENSG00000227416,0
ENSG00000232335,0
ENSG00000260971,0
ENSG00000259832,0
ENSG00000284696,0
ENSG00000238242,0
ENSG00000285839,0
ENSG00000237290,0
ENSG00000232762,0
ENSG00000117419,3018
ENSG00000162384,1084
ENSG00000162391,0
ENSG00000174348,5
ENSG00000117859,3591
ENSG00000228121,2
ENSG00000253313,0
ENSG00000162396,128
ENSG00000203995,13
ENSG00000284686,1
ENSG00000162378,6042
ENSG00000233079,0
ENSG00000259818,0
ENSG00000229444,2
ENSG00000240563,4
ENSG00000234318,0
ENSG00000284773,0
ENSG00000234481,0
ENSG00000117862,463
ENSG00000235612,0
ENSG00000228369,0
ENSG00000183431,4723
ENSG00000227485,0
ENSG00000224609,12
ENSG00000235545,57
ENSG00000236646,0
ENSG00000232198,0
ENSG00000238063,0
ENSG00000227104,0
ENSG00000243725,21
ENSG00000171872,0
ENSG00000162407,2930
ENSG00000285079,0
ENSG00000169218,28
ENSG00000163877,870
ENSG00000228929,34
ENSG00000224570,0
ENSG00000224980,0
ENSG00000278967,0
ENSG00000157184,270
ENSG00000198815,2159
ENSG00000134744,1272
ENSG00000233910,0
ENSG00000287703,0
ENSG00000283039,0
ENSG00000229032,0
ENSG00000229294,11
ENSG00000232993,0
ENSG00000234088,0
ENSG00000236973,0
ENSG00000277397,0
ENSG00000271200,3
ENSG00000235446,0
ENSG00000261196,0
ENSG00000162385,1042
ENSG00000234264,6
ENSG00000242391,0
ENSG00000223883,0
ENSG00000284808,0
ENSG00000237227,0
ENSG00000275350,0
ENSG00000116652,3
ENSG00000123080,609
ENSG00000285778,44
ENSG00000233407,0
ENSG00000225675,1
ENSG00000237622,0
ENSG00000162598,2
ENSG00000280317,0
ENSG00000162415,1128
ENSG00000162600,128
ENSG00000116704,575
ENSG00000227644,0
ENSG00000157193,1492
ENSG00000116205,350
ENSG00000198841,171
ENSG00000116212,1620
ENSG00000234204,0
ENSG00000233099,371
ENSG00000233994,8
ENSG00000233973,0
ENSG00000237552,4
ENSG00000132854,0
ENSG00000227556,0
ENSG00000162607,3469
ENSG00000233602,0
ENSG00000233271,0
ENSG00000285954,0
ENSG00000233333,0
ENSG00000154027,424
ENSG00000234108,0
ENSG00000232676,0
ENSG00000225167,0
ENSG00000213579,0
ENSG00000137960,36
ENSG00000237852,0
ENSG00000116745,1351
ENSG00000132855,2
ENSG00000285407,16
ENSG00000272855,4
ENSG00000270549,0
ENSG00000237163,0
ENSG00000229636,0
ENSG00000116675,2703
ENSG00000162433,3467
ENSG00000213625,4081
ENSG00000227207,0
ENSG00000227016,0
ENSG00000233664,0
ENSG00000158966,3541
ENSG00000213703,0
ENSG00000203965,1157
ENSG00000223479,11
ENSG00000233674,0
ENSG00000153898,22
ENSG00000117069,1632
ENSG00000125703,610
ENSG00000285041,91
ENSG00000285808,0
ENSG00000229440,0
ENSG00000234144,2
ENSG00000213540,8
ENSG00000277670,0
ENSG00000227466,0
ENSG00000154007,0
ENSG00000230498,0
ENSG00000285782,0
ENSG00000162618,114
ENSG00000224493,0
ENSG00000131233,0
ENSG00000272371,0
ENSG00000287647,2
ENSG00000229225,0
ENSG00000230863,0
ENSG00000287224,0
ENSG00000225598,0
ENSG00000286455,0
ENSG00000225087,0
ENSG00000280378,0
ENSG00000188786,312
ENSG00000230053,0
ENSG00000137941,1589
ENSG00000224326,0
ENSG00000286548,3
ENSG00000066135,1296
ENSG00000230027,0
ENSG00000233061,0
ENSG00000272094,0
ENSG00000228853,0
ENSG00000215874,0
ENSG00000232453,32
ENSG00000260386,0
ENSG00000284895,0
ENSG00000117174,1180
ENSG00000237413,0
ENSG00000184313,0
ENSG00000284645,22
ENSG00000225605,0
ENSG00000225446,4
ENSG00000288543,20
ENSG00000122420,102
ENSG00000284240,0
ENSG00000236290,0
ENSG00000143013,6366
ENSG00000226084,48
ENSG00000134748,3514
ENSG00000142892,3876
ENSG00000219102,0
ENSG00000184005,3098
ENSG00000230953,0
ENSG00000287743,0
ENSG00000229332,0
ENSG00000227937,0
ENSG00000229752,0
ENSG00000237505,20
ENSG00000285462,0
ENSG00000233216,0
ENSG00000197273,0
ENSG00000226804,0
ENSG00000230728,0
ENSG00000232846,0
ENSG00000230787,16
ENSG00000116641,5920
ENSG00000223920,0
ENSG00000237453,0
ENSG00000172260,3601
ENSG00000285473,10
ENSG00000237959,0
ENSG00000231364,0
ENSG00000234578,0
ENSG00000117480,257
ENSG00000137944,1794
ENSG00000229505,0
ENSG00000228187,0
ENSG00000285201,0
ENSG00000182183,2
ENSG00000236407,0
ENSG00000271949,0
ENSG00000227062,0
ENSG00000067334,2497
ENSG00000235011,0
ENSG00000235673,0
ENSG00000226938,0
ENSG00000213559,0
ENSG00000287587,0
ENSG00000142949,4450
ENSG00000116133,12238
ENSG00000232882,0
ENSG00000171502,227
ENSG00000162399,0
ENSG00000116157,2087
ENSG00000143036,574
ENSG00000232672,0
ENSG00000230817,0
ENSG00000065243,1530
ENSG00000226759,0
ENSG00000226960,0
ENSG00000234080,2
ENSG00000237899,5
ENSG00000223905,0
ENSG00000227290,6
ENSG00000229486,0
ENSG00000282898,0
ENSG00000285409,0
ENSG00000231090,0
ENSG00000117528,5323
ENSG00000271723,0
ENSG00000172339,631
ENSG00000036549,2767
ENSG00000287724,0
ENSG00000058799,1799
ENSG00000225191,0
ENSG00000287870,0
ENSG00000235563,0
ENSG00000232048,0
ENSG00000232857,0
ENSG00000273637,0
ENSG00000203985,0
ENSG00000228838,0
ENSG00000283761,12
ENSG00000189433,0
ENSG00000230759,0
ENSG00000231866,0
ENSG00000179178,12
ENSG00000142700,18
ENSG00000285525,26
ENSG00000236098,9
ENSG00000233514,4
ENSG00000127124,200
ENSG00000266993,0
ENSG00000223675,8
ENSG00000162604,1848
ENSG00000229316,0
ENSG00000116171,6751
ENSG00000287406,9
ENSG00000225767,0
ENSG00000234099,0
ENSG00000137936,547
ENSG00000235308,0
ENSG00000232752,0
ENSG00000235829,0
ENSG00000143032,4
ENSG00000226745,0
ENSG00000178028,908
ENSG00000280040,0
ENSG00000168710,4630
ENSG00000117519,24680
ENSG00000270507,0
ENSG00000238037,0
ENSG00000215869,0
ENSG00000134215,1032
ENSG00000227935,0
ENSG00000228502,402
ENSG00000236268,0
ENSG00000271277,0
ENSG00000236888,0
ENSG00000279778,0
ENSG00000230955,0
ENSG00000230828,0
ENSG00000188641,140
ENSG00000152078,417
ENSG00000237279,0
ENSG00000233359,0
ENSG00000237954,0
ENSG00000185668,460
ENSG00000171492,4898
ENSG00000233129,0
ENSG00000170989,3062
ENSG00000258634,74
ENSG00000233557,0
ENSG00000237897,10
ENSG00000116299,450
ENSG00000137962,3752
ENSG00000227832,0
ENSG00000286692,0
ENSG00000260464,102
ENSG00000237435,0
ENSG00000231996,0
ENSG00000273204,5
ENSG00000079739,2046
ENSG00000117154,24
ENSG00000162377,1292
ENSG00000224613,44
ENSG00000215871,0
ENSG00000287372,0
ENSG00000232542,0
ENSG00000116774,1034
ENSG00000287756,0
ENSG00000284652,10
ENSG00000023909,629
ENSG00000069702,450
ENSG00000232185,0
ENSG00000230489,2
ENSG00000228399,0
ENSG00000236776,0
ENSG00000224685,0
ENSG00000287076,0
ENSG00000237480,0
ENSG00000271252,0
ENSG00000230427,0
ENSG00000235794,0
ENSG00000286758,9
ENSG00000237337,0
ENSG00000233983,4
ENSG00000198198,406
ENSG00000225183,0
ENSG00000230402,0
ENSG00000116793,1399
ENSG00000238122,0
ENSG00000260879,0
ENSG00000283354,0
ENSG00000232918,0
ENSG00000236360,0
ENSG00000183298,60
ENSG00000234332,0
ENSG00000117525,280
ENSG00000225079,3
ENSG00000226483,0
ENSG00000224238,4
ENSG00000229537,0
ENSG00000162699,0
ENSG00000162692,4160
ENSG00000203914,2
ENSG00000270457,1
ENSG00000203858,0
ENSG00000231987,0
ENSG00000228057,2
ENSG00000261593,0
ENSG00000224445,16
ENSG00000229842,0
ENSG00000270631,0
ENSG00000229201,0
ENSG00000181656,78
ENSG00000122481,74
ENSG00000198162,4051
ENSG00000238198,66
ENSG00000171517,0
ENSG00000228852,0
ENSG00000203864,0
ENSG00000233482,0
ENSG00000230250,0
ENSG00000232878,0
ENSG00000143079,2644
ENSG00000232450,18
ENSG00000223575,0
ENSG00000230768,0
ENSG00000235202,0
ENSG00000272715,3
ENSG00000235038,0
ENSG00000143093,2317
ENSG00000226415,56
ENSG00000085491,2805
ENSG00000173947,1010
ENSG00000230434,0
ENSG00000230718,0
ENSG00000134198,1124
ENSG00000235595,0
ENSG00000226053,0
ENSG00000226128,0
ENSG00000198799,640
ENSG00000279513,6
ENSG00000117620,935
ENSG00000280186,6
ENSG00000223906,0
ENSG00000162688,2080
ENSG00000197106,683
ENSG00000259946,0
ENSG00000236137,6
ENSG00000203859,0
ENSG00000228086,0
ENSG00000213421,0
ENSG00000234020,7
ENSG00000236804,0
ENSG00000231072,0
ENSG00000273406,0
ENSG00000185946,375
ENSG00000162627,1722
ENSG00000226715,0
ENSG00000162695,1284
ENSG00000265808,3422
ENSG00000261290,0
ENSG00000225923,0
ENSG00000134247,5314
ENSG00000187481,0
ENSG00000116752,3845
ENSG00000162664,1325
ENSG00000236866,0
ENSG00000134253,188
ENSG00000223416,2
ENSG00000179571,0
ENSG00000227850,0
ENSG00000235777,0
ENSG00000173218,686
ENSG00000285532,0
ENSG00000226755,0
ENSG00000232650,1
ENSG00000183508,162
ENSG00000277095,0
ENSG00000234283,1
ENSG00000232780,0
ENSG00000274927,0
ENSG00000264145,0
ENSG00000238256,0
ENSG00000198765,8
ENSG00000224335,0
ENSG00000277702,36
ENSG00000143398,3112
ENSG00000196505,710
ENSG00000223489,0
ENSG00000230546,0
ENSG00000213262,0
ENSG00000287015,0
ENSG00000235526,4
ENSG00000228347,0
ENSG00000236012,2
ENSG00000270911,0
ENSG00000134200,0
ENSG00000065183,2695
ENSG00000227082,332
ENSG00000226126,0
ENSG00000163393,1390
ENSG00000163156,1380
ENSG00000143631,0
ENSG00000156150,0
ENSG00000228453,0
ENSG00000274642,46
ENSG00000177551,2602
ENSG00000197323,3933
ENSG00000237975,2
ENSG00000261168,83
ENSG00000287980,0
ENSG00000229283,0
ENSG00000271419,0
ENSG00000226172,0
ENSG00000079335,224
ENSG00000143119,0
ENSG00000237278,0
ENSG00000233432,0
ENSG00000227700,0
ENSG00000229911,0
ENSG00000143520,0
ENSG00000171943,918
ENSG00000270719,0
ENSG00000155761,7
ENSG00000230806,0
ENSG00000116830,282
ENSG00000234422,0
ENSG00000227056,0
ENSG00000227091,0
ENSG00000214204,0
ENSG00000081026,742
ENSG00000225650,0
ENSG00000224965,6
ENSG00000228127,94
ENSG00000226984,0
ENSG00000186150,0
ENSG00000143458,68
ENSG00000230932,0
ENSG00000073754,0
ENSG00000228826,0
ENSG00000233907,0
ENSG00000225036,0
ENSG00000228420,0
ENSG00000233839,0
ENSG00000250890,0
ENSG00000232240,0
ENSG00000230921,0
ENSG00000286151,0
ENSG00000234388,0
ENSG00000271736,0
ENSG00000233717,0
ENSG00000163155,822
ENSG00000241975,6
ENSG00000271143,0
ENSG00000270976,0
ENSG00000228217,8
ENSG00000270342,0
ENSG00000175984,94
ENSG00000231100,0
ENSG00000116824,0
ENSG00000235887,0
ENSG00000237460,0
ENSG00000236887,0
ENSG00000024526,716
ENSG00000236480,4
ENSG00000235756,0
ENSG00000173810,0
ENSG00000235005,0
ENSG00000271890,0
ENSG00000227425,0
ENSG00000225279,2
ENSG00000229101,0
ENSG00000239216,0
ENSG00000283360,0
ENSG00000117262,481
ENSG00000227907,0
ENSG00000227970,0
ENSG00000261055,0
ENSG00000231613,0
ENSG00000137947,1976
ENSG00000236689,0
ENSG00000233589,2
ENSG00000117586,80
ENSG00000230946,0
ENSG00000226028,0
ENSG00000162728,62
ENSG00000229021,0
ENSG00000203825,0
ENSG00000184371,336
ENSG00000233449,0
ENSG00000242943,0
ENSG00000233203,6
ENSG00000232499,20
ENSG00000232265,0
ENSG00000163154,0
ENSG00000232995,37
ENSG00000238087,0
ENSG00000227777,0
ENSG00000177173,1
ENSG00000238022,0
ENSG00000231671,38
ENSG00000162729,1134
ENSG00000143158,1288
ENSG00000271092,30
ENSG00000238118,0
ENSG00000276118,0
ENSG00000232148,0
ENSG00000278811,0
ENSG00000000460,439
ENSG00000188859,113
ENSG00000275075,0
ENSG00000135862,7504
ENSG00000232952,2
ENSG00000227722,0
ENSG00000285922,0
ENSG00000275801,0
ENSG00000143198,4256
ENSG00000143318,703
ENSG00000232188,0
ENSG00000232212,0
ENSG00000143621,14163
ENSG00000241042,0
ENSG00000143155,8159
ENSG00000260322,0
ENSG00000223495,0
ENSG00000143156,1501
ENSG00000198771,0
ENSG00000225462,0
ENSG00000237756,0
ENSG00000116147,134
ENSG00000213064,2895
ENSG00000203307,0
ENSG00000143179,814
ENSG00000271187,0
ENSG00000274562,0
ENSG00000143315,1338
ENSG00000231175,0
ENSG00000143185,0
ENSG00000272931,32
ENSG00000143190,1114
ENSG00000225475,0
ENSG00000230898,0
ENSG00000232223,0
ENSG00000224698,0
ENSG00000287697,2
ENSG00000075945,9955
ENSG00000235303,14
ENSG00000234810,2
ENSG00000224468,2
ENSG00000235628,0
ENSG00000232551,0
ENSG00000092607,10
ENSG00000238270,0
ENSG00000285894,0
ENSG00000236025,0
ENSG00000230687,0
ENSG00000230704,0
ENSG00000283255,0
ENSG00000227741,4
ENSG00000237049,0
ENSG00000286754,0
ENSG00000232751,0
ENSG00000236364,0
ENSG00000117091,0
ENSG00000235378,0
ENSG00000143171,136
ENSG00000275767,0
ENSG00000224718,0
ENSG00000047410,1358
ENSG00000231992,0
ENSG00000018625,29586
ENSG00000171806,476
ENSG00000287919,2
ENSG00000233882,0
ENSG00000198358,0
ENSG00000134216,0
ENSG00000230748,0
ENSG00000254154,0
ENSG00000162694,2318
ENSG00000238108,0
ENSG00000214262,0
ENSG00000215835,10
ENSG00000118197,302
ENSG00000135842,468
ENSG00000229258,0
ENSG00000287472,0
ENSG00000241318,0
ENSG00000228238,0
ENSG00000232393,2
ENSG00000184155,0
ENSG00000058085,81
ENSG00000260088,8
ENSG00000116815,602
ENSG00000232917,2
ENSG00000233057,2
ENSG00000237131,0
ENSG00000233946,0
ENSG00000143167,8
ENSG00000143184,0
ENSG00000260976,0
ENSG00000235215,0
ENSG00000224691,0
ENSG00000286572,0
ENSG00000235101,0
ENSG00000228215,0
ENSG00000177807,70
ENSG00000233626,4
ENSG00000233691,0
ENSG00000283518,0
ENSG00000271527,0
ENSG00000143228,1566
ENSG00000235827,0
ENSG00000231615,0
ENSG00000231714,0
ENSG00000174514,112
ENSG00000143178,52
ENSG00000224837,0
ENSG00000116833,0
ENSG00000227740,6
ENSG00000260990,0
ENSG00000000457,547
ENSG00000143507,278
ENSG00000285638,38
ENSG00000284592,0
ENSG00000230987,0
ENSG00000232527,2
ENSG00000215833,0
ENSG00000228167,0
ENSG00000225325,0
ENSG00000223344,0
ENSG00000150732,0
ENSG00000157064,3739
ENSG00000288139,0
ENSG00000215808,0
ENSG00000059588,214
ENSG00000237379,0
ENSG00000232959,0
ENSG00000122224,0
ENSG00000162782,20
ENSG00000238051,0
ENSG00000233196,12
ENSG00000229220,0
ENSG00000143653,3587
ENSG00000158711,652
ENSG00000227747,0
ENSG00000228081,0
ENSG00000228020,0
ENSG00000234975,58
ENSG00000162851,736
ENSG00000271427,0
ENSG00000143353,1165
ENSG00000197965,13430
ENSG00000143493,2580
ENSG00000230777,6
ENSG00000179397,28
ENSG00000224540,0
ENSG00000117592,5306
ENSG00000186197,22
ENSG00000229067,0
ENSG00000230231,0
ENSG00000227711,0
ENSG00000261182,0
ENSG00000228879,0
ENSG00000227925,0
ENSG00000162670,749
ENSG00000225712,0
ENSG00000162761,435
ENSG00000143199,0
ENSG00000007908,0
ENSG00000092978,860
ENSG00000143499,1047
ENSG00000188404,16
ENSG00000227735,0
ENSG00000143196,0
ENSG00000228504,0
ENSG00000274702,0
ENSG00000226211,0
ENSG00000236942,0
ENSG00000287205,0
ENSG00000203697,0
ENSG00000116574,3580
ENSG00000287929,0
ENSG00000224896,0
ENSG00000226292,0
ENSG00000121481,5874
ENSG00000227940,0
ENSG00000143248,514
ENSG00000162814,268
ENSG00000225172,0
ENSG00000261642,0
ENSG00000228239,0
ENSG00000237283,0
ENSG00000116132,499
ENSG00000238042,0
ENSG00000271475,0
ENSG00000231877,0
ENSG00000116679,7356
ENSG00000228536,28
ENSG00000230550,0
ENSG00000229242,0
